9.88,0.56,0.07
10.62,-1.29,-1.09
12.81,-0.39,-2.33
12.31,-1.73,-1.13
12.97,-3.4,-0.42
14.24,-3.75,-0.88
12.69,-3.32,-1.64
13.1,-4.24,-3.03
12.97,-2.19,-2.89
12.59,-3.58,-3.18
12.05,-2.09,-2.8
11.98,-1.32,-3.87
11.56,-1.07,-2.47
11.42,-0.09,-3.16
12.22,1.77,-3.35
12.14,2.23,-2.84
12.68,2.08,-3.69
13.32,-3.8,-1.97
12.77,0.6,-3.09
12.18,0.5,-2.76
12.23,0.58,-2.73
12.42,0.62,-2.93
12.05,0.08,-3.01
12.66,0.32,-3.12
12.5,0.38,-4.23
12.27,0.86,-1.29
12.34,0.46,-3.4
12.22,0.27,-3.15
12.24,0.5,-2.64
12.45,0.56,-2.96
12.28,0.44,-2.69
12.29,0.54,-2.83
12.27,0.51,-2.85
12.35,0.45,-2.84
12.23,0.51,-2.7
12.48,0.45,-2.93
11.98,0.42,-2.75
12.27,0.48,-3.01
12.17,0.35,-2.72
12.44,0.49,-3.15
12.56,0.37,-2.64
12.58,0.43,-2.73
12.49,0.44,-2.78
12.22,0.49,-2.75
12.5,0.41,-2.79
12.09,0.49,-2.8
12.49,0.48,-2.91
12.48,0.38,-2.87
12.3,0.58,-2.67
12.51,0.37,-2.75
12.4,0.45,-2.91
12.42,0.44,-2.89
12.37,0.34,-2.84
12.49,0.47,-2.74
12.47,0.33,-2.79
12.48,0.37,-2.77
12.34,0.48,-2.84
12.4,0.37,-2.77
12.1,0.54,-2.65
12.43,0.39,-2.96
12.34,0.25,-2.86
12.19,0.38,-2.72
12.32,0.05,-2.86
12.11,0.1,-2.89
12.01,-0.09,-2.73
12.26,-0.07,-2.77
12.41,-0.12,-2.8
12.04,-0.07,-2.71
12.28,-0.16,-2.96
12.42,-0.29,-2.89
12.2,-0.16,-2.8
11.93,-0.24,-3.06
12.19,-0.36,-2.6
12.46,-0.39,-2.76
12.17,-0.19,-2.71
12.17,-0.58,-2.71
12.19,-0.3,-2.74
12.05,-0.49,-2.68
12.25,-0.51,-2.84
12.27,-0.56,-2.87
12.12,-0.61,-2.65
11.96,-0.53,-2.81
12.34,-0.73,-2.65
12.13,-0.6,-2.81
12.04,-0.6,-2.77
12.2,-0.73,-2.69
12.31,-0.75,-2.63
12.24,-0.74,-2.92
11.89,-0.78,-2.75
12.01,-0.95,-2.7
12.29,-0.87,-2.93
12.21,-0.92,-2.83
11.81,-1.07,-2.98
12.18,-1.18,-2.51
12.19,-1.06,-2.93
12.02,-1.05,-2.85
12.07,-1.06,-2.69
12.43,-1.26,-2.7
12.71,-0.89,-2.93
12.3,-1.12,-2.93
12.32,-1.19,-2.78
12.53,-0.95,-2.65
12.57,-1.25,-2.78
11.95,-1.05,-2.94
12.5,-1.26,-2.77
12.6,-1.26,-2.89
12.19,-0.97,-2.87
11.98,-1.36,-2.94
12.38,-1.13,-2.82
12.62,-1.07,-2.92
12.27,-1.22,-2.79
12.01,-1.08,-2.84
12.66,-1.31,-2.86
12.53,-1.09,-2.95
12.15,-1.11,-2.74
12.21,-1.29,-2.91
12.59,-1.21,-2.76
12.35,-1.18,-2.89
11.85,-1.33,-2.66
12.46,-1.09,-3.04
12.61,-1.36,-2.77
12.36,-1.11,-2.83
11.93,-1.19,-2.83
12.46,-1.38,-2.87
12.52,-1.09,-2.86
12.34,-1.35,-2.7
12.3,-1.17,-2.83
12.58,-1.23,-2.95
12.43,-1.43,-2.87
12.57,-1.07,-2.72
12.39,-1.29,-2.83
12.24,-1.42,-2.94
12.32,-1.21,-2.87
12.54,-1.31,-2.77
12.16,-1.25,-2.81
12.09,-1.32,-2.93
12.11,-1.35,-3.07
12.42,-1.18,-2.81
12.21,-1.28,-2.82
12.51,-1.46,-2.74
12.47,-1.1,-2.97
12.28,-1.43,-2.81
12.24,-1.18,-2.84
12.77,-1.38,-2.63
12.45,-1.33,-2.9
12.06,-1.21,-2.8
12.36,-1.54,-2.79
12.68,-1.12,-2.81
12.68,-1.37,-2.78
12.05,-1.32,-2.94
12.57,-1.2,-2.82
12.53,-1.49,-2.73
12.43,-1.18,-2.76
12.17,-1.33,-2.99
12.79,-1.45,-2.63
12.61,-1.2,-2.9
12.16,-1.3,-2.75
12.29,-1.34,-2.8
12.88,-1.27,-2.59
12.49,-1.37,-2.86
11.9,-1.28,-2.79
12.19,-1.33,-2.84
12.76,-1.36,-2.84
12.52,-1.08,-2.82
12.22,-1.36,-2.79
12.92,-1.21,-2.7
13.07,-1.2,-2.91
12.36,-1.17,-2.76
12.56,-1.06,-2.8
13.17,-1.31,-2.81
12.66,-0.95,-2.8
12.42,-1.28,-2.71
12.68,-1.06,-2.87
12.99,-1.04,-2.9
12.54,-1.11,-2.79
12.66,-0.87,-2.83
13.17,-1.16,-2.73
12.59,-0.85,-2.91
12.31,-0.93,-2.87
12.55,-0.99,-2.9
13.08,-0.84,-2.73
12.77,-0.89,-2.83
12.32,-0.73,-2.85
12.88,-0.85,-2.85
12.7,-0.83,-2.9
12.17,-0.71,-2.75
12.53,-0.88,-2.85
13.03,-0.59,-2.8
12.57,-0.79,-2.83
12.19,-0.74,-2.81
12.54,-0.71,-2.86
12.63,-0.79,-2.91
12.6,-0.63,-2.73
12.66,-0.75,-2.8
12.63,-0.79,-2.81
12.43,-0.64,-2.92
12.18,-0.83,-2.74
12.6,-0.65,-2.87
12.88,-0.63,-2.78
12.78,-0.83,-2.84
12.43,-0.55,-2.78
12.63,-0.81,-2.8
12.79,-0.53,-3.05
12.52,-0.63,-2.91
12.58,-0.7,-2.73
12.74,-0.44,-2.7
12.65,-0.67,-2.92
12.47,-0.32,-2.82
12.7,-0.65,-2.7
12.79,-0.49,-2.8
12.66,-0.4,-2.95
12.25,-0.7,-2.83
12.59,-0.48,-2.66
12.61,-0.55,-2.82
12.07,-0.52,-2.76
12.33,-0.65,-2.74
12.64,-0.58,-2.7
12.64,-0.43,-2.88
12.05,-0.57,-2.75
12.42,-0.61,-2.79
12.66,-0.49,-2.86
12.57,-0.55,-2.81
12.4,-0.44,-2.9
12.48,-0.8,-2.73
12.3,-0.32,-2.92
12.1,-0.5,-2.91
12.57,-0.74,-2.75
12.39,-0.32,-2.92
12.13,-0.73,-2.87
12.43,-0.28,-2.72
12.74,-0.7,-2.84
12.38,-0.45,-2.95
12.29,-0.41,-2.76
12.34,-0.78,-2.72
12.67,-0.31,-2.79
12.19,-0.62,-2.79
12.09,-0.45,-2.68
12.63,-0.52,-2.77
12.54,-0.56,-2.95
12.24,-0.39,-2.78
12.47,-0.62,-2.78
12.58,-0.51,-2.77
12.39,-0.41,-2.87
12.35,-0.52,-2.67
12.65,-0.49,-2.8
12.56,-0.55,-2.99
12.23,-0.31,-2.77
12.5,-0.52,-2.78
12.91,-0.54,-2.87
12.57,-0.35,-2.79
12.23,-0.5,-2.74
12.32,-0.41,-2.76
12.5,-0.56,-2.95
12.35,-0.33,-2.89
12.27,-0.47,-2.72
12.42,-0.62,-2.6
12.46,-0.22,-2.81
12.24,-0.65,-2.9
12.13,-0.38,-2.73
12.74,-0.45,-2.78
12.82,-0.52,-2.87
12.31,-0.21,-2.79
12.08,-0.72,-2.66
12.8,-0.3,-2.78
12.56,-0.38,-2.88
12.17,-0.6,-2.74
12.5,-0.35,-2.66
12.57,-0.48,-2.72
12,-0.43,-2.72
12.09,-0.55,-2.79
12.52,-0.56,-2.76
12.6,-0.32,-2.88
12.04,-0.51,-2.51
12.34,-0.62,-2.52
12.26,-0.35,-2.79
12.26,-0.59,-2.64
12.41,-0.35,-2.69
12.98,-0.57,-2.44
12.7,-0.44,-2.76
12.15,-0.31,-2.4
12.61,-0.7,-2.57
12.78,-0.39,-2.53
12.6,-0.55,-2.69
12.26,-0.4,-2.57
12.49,-0.55,-2.45
12.64,-0.56,-2.64
12.45,-0.3,-2.73
12.42,-0.49,-2.59
12.39,-0.6,-2.57
12.4,-0.33,-2.79
12.18,-0.58,-2.59
12.22,-0.44,-2.52
12.57,-0.59,-2.54
12.72,-0.46,-2.86
12.41,-0.36,-2.67
12.45,-0.8,-2.67
12.44,-0.3,-2.53
12.31,-0.64,-2.6
