9.77,0.55,-1.41,
9.74,0.58,-1.39,
9.77,0.56,-1.39,
9.78,0.56,-1.38,
9.77,0.57,-1.39,
9.75,0.56,-1.40,
9.75,0.58,-1.41,
9.75,0.58,-1.42,
9.77,0.58,-1.38,
9.75,0.56,-1.41,
9.76,0.55,-1.42,
9.76,0.56,-1.37,
9.76,0.55,-1.41,
9.74,0.58,-1.40,
9.75,0.56,-1.40,
9.76,0.56,-1.39,
9.74,0.56,-1.38,
9.76,0.55,-1.39,
9.75,0.57,-1.41,
9.76,0.58,-1.41,
9.77,0.57,-1.39,
9.76,0.57,-1.40,
9.76,0.56,-1.38,
9.78,0.55,-1.39,
9.77,0.57,-1.38,
9.76,0.58,-1.35,
9.77,0.57,-1.42,
9.77,0.56,-1.39,
9.75,0.57,-1.38,
9.76,0.56,-1.41,
9.75,0.56,-1.39,
9.75,0.57,-1.39,
9.77,0.56,-1.39,
9.75,0.57,-1.37,
9.76,0.56,-1.40,
9.76,0.56,-1.40,
9.76,0.55,-1.38,
9.76,0.57,-1.38,
9.76,0.57,-1.39,
9.76,0.56,-1.39,
9.78,0.56,-1.38,
9.78,0.56,-1.40,
9.76,0.58,-1.37,
9.74,0.57,-1.39,
9.77,0.56,-1.40,
9.77,0.58,-1.40,
9.76,0.58,-1.39,
9.76,0.57,-1.41,
9.76,0.58,-1.40,
9.76,0.56,-1.36,
9.77,0.56,-1.39,
9.79,0.57,-1.38,
9.77,0.56,-1.39,
9.77,0.57,-1.37,
9.76,0.55,-1.38,
9.76,0.57,-1.40,
9.75,0.57,-1.37,
9.75,0.57,-1.38,
9.77,0.55,-1.39,
9.76,0.57,-1.40,
9.78,0.54,-1.35,
9.75,0.56,-1.42,
9.77,0.55,-1.38,
9.77,0.55,-1.40,
9.76,0.56,-1.39,
9.76,0.56,-1.44,
9.76,0.57,-1.40,
9.75,0.56,-1.39,
9.77,0.56,-1.41,
9.76,0.58,-1.39,
9.76,0.56,-1.39,
9.77,0.55,-1.39,
9.76,0.55,-1.40,
9.77,0.57,-1.40,
9.76,0.56,-1.40,
9.75,0.56,-1.41,
9.76,0.58,-1.40,
9.77,0.56,-1.41,
9.76,0.54,-1.40,
9.75,0.58,-1.40,
9.77,0.57,-1.39,
9.77,0.57,-1.40,
9.76,0.57,-1.41,
9.78,0.57,-1.42,
9.76,0.57,-1.42,
9.77,0.57,-1.41,
9.77,0.57,-1.41,
9.77,0.57,-1.40,
9.77,0.56,-1.40,
9.75,0.57,-1.38,
9.77,0.56,-1.42,
9.74,0.56,-1.39,
9.78,0.56,-1.42,
9.75,0.55,-1.39,
9.76,0.58,-1.38,
9.74,0.54,-1.41,
9.79,0.59,-1.44,
9.74,0.55,-1.40,
9.76,0.57,-1.40,
9.77,0.56,-1.39,
9.76,0.57,-1.39,
9.77,0.54,-1.42,
9.76,0.56,-1.39,
9.78,0.57,-1.39,
9.78,0.56,-1.43,
9.75,0.56,-1.39,
9.76,0.57,-1.39,
9.75,0.53,-1.41,
9.78,0.56,-1.40,
9.75,0.57,-1.38,
9.77,0.56,-1.39,
9.76,0.57,-1.41,
9.77,0.56,-1.38,
9.79,0.55,-1.43,
9.77,0.55,-1.43,
9.75,0.56,-1.36,
9.77,0.55,-1.40,
9.77,0.56,-1.39,
9.75,0.58,-1.37,
9.78,0.56,-1.40,
9.78,0.57,-1.39,
9.75,0.56,-1.36,
9.75,0.58,-1.38,
9.77,0.57,-1.37,
9.76,0.56,-1.39,
9.77,0.58,-1.40,
9.77,0.56,-1.40,
9.74,0.57,-1.40,
9.76,0.58,-1.42,
9.75,0.58,-1.41,
9.78,0.58,-1.40,
9.78,0.56,-1.41,
9.77,0.58,-1.43,
9.77,0.57,-1.38,
9.78,0.55,-1.38,
9.74,0.56,-1.42,
9.77,0.56,-1.37,
9.77,0.55,-1.38,
9.77,0.55,-1.41,
9.75,0.58,-1.38,
9.76,0.55,-1.40,
9.76,0.56,-1.41,
9.74,0.57,-1.38,
9.76,0.56,-1.41,
9.79,0.57,-1.41,
9.78,0.58,-1.40,
9.78,0.57,-1.41,
9.76,0.58,-1.38,
9.77,0.57,-1.40,
9.80,0.52,-1.36,
9.69,0.71,-1.47,
9.79,0.60,-1.38,
9.79,0.45,-1.45,
9.74,0.62,-1.36,
9.75,0.56,-1.38,
9.79,0.56,-1.41,
9.76,0.59,-1.38,
9.77,0.55,-1.38,
9.74,0.55,-1.38,
9.76,0.58,-1.43,
9.78,0.56,-1.39,
9.76,0.56,-1.40,
9.77,0.60,-1.39,
9.77,0.53,-1.39,
9.76,0.58,-1.42,
9.78,0.58,-1.40,
9.77,0.55,-1.40,
9.77,0.58,-1.41,
9.77,0.57,-1.40,
9.76,0.57,-1.43,
9.75,0.54,-1.41,
9.76,0.59,-1.37,
9.76,0.54,-1.41,
9.76,0.57,-1.38,
9.77,0.57,-1.41,
9.77,0.56,-1.42,
9.76,0.54,-1.38,
9.77,0.51,-1.43,
9.76,0.60,-1.41,
9.74,0.62,-1.31,
9.79,0.55,-1.42,
9.78,0.57,-1.41,
9.76,0.59,-1.37,
9.75,0.58,-1.37,
9.75,0.55,-1.44,
9.75,0.57,-1.39,
9.76,0.56,-1.37,
9.77,0.57,-1.42,
9.75,0.58,-1.37,
9.75,0.59,-1.41,
9.75,0.55,-1.40,
9.77,0.60,-1.39,
9.77,0.55,-1.39,
9.76,0.58,-1.41,
9.74,0.57,-1.41,
9.76,0.56,-1.40,
9.76,0.58,-1.39,
9.77,0.57,-1.38,
9.77,0.57,-1.43,
9.76,0.57,-1.41,
9.76,0.57,-1.41,
9.75,0.57,-1.38,
9.77,0.56,-1.40,
9.76,0.57,-1.39,
9.77,0.56,-1.41,
9.77,0.58,-1.41,
9.75,0.58,-1.37,
9.76,0.55,-1.38,
9.77,0.57,-1.38,
9.77,0.57,-1.39,
9.77,0.57,-1.40,
9.76,0.56,-1.40,
9.76,0.56,-1.40,
9.75,0.58,-1.41,
9.77,0.55,-1.41,
9.77,0.57,-1.39,
9.77,0.57,-1.41,
9.79,0.57,-1.41,
9.76,0.58,-1.38,
9.76,0.55,-1.40,
9.76,0.58,-1.39,
9.77,0.58,-1.40,
9.77,0.56,-1.41,
9.77,0.55,-1.39,
9.76,0.55,-1.37,
9.76,0.57,-1.39,
9.76,0.56,-1.41,
9.77,0.57,-1.38,
9.77,0.56,-1.39,
9.77,0.57,-1.37,
9.79,0.58,-1.37,
9.77,0.56,-1.40,
9.75,0.56,-1.39,
9.78,0.57,-1.38,
9.78,0.57,-1.39,
9.76,0.56,-1.40,
9.77,0.56,-1.42,
9.75,0.56,-1.38,
9.77,0.57,-1.38,
9.78,0.57,-1.37,
9.77,0.56,-1.38,
